keys,ru
"TEAM MOBS KILLED: 0","ВРАГОВ УБИТО КОМАНДОЙ: 0"
"TEAM MOBS KILLED: %d","ВРАГОВ УБИТО КОМАНДОЙ: %d"
"(you)","(ты)"
"MVP medic","Лучший медик"
"Loot — dibs!","Лут — чур моё!"
"Extraction","Эвакуация"
"Help!","На помощь!"
"Thanks","Спасибо"
"Regroup","Сбор"
"Going here","Иду сюда"
"Going Here","Иду сюда"
"Need Ammo","Нужны патроны"
"COMMS","СВЯЗЬ"
"Carrying [release F]","Несу союзника [отпустить F]"
"Revive / Carry [hold E / F]","Поднять / Нести [держать E / F]"
"Revive interrupted","Подъём прерван"
"REVIVING…","ПОДНИМАЮ…"
"AVAILABLE CONTRACTS","ДОСТУПНЫЕ КОНТРАКТЫ"
"Accept to add to your active log","Примите, чтобы добавить в активные"
"ACTIVE CONTRACTS","АКТИВНЫЕ КОНТРАКТЫ"
"%d / %d active","%d / %d активно"
"LOCKED","ЗАБЛОКИРОВАНО"
"Meet the conditions to unlock","Выполните условия, чтобы открыть"
"COMPLETED","ЗАВЕРШЕНО"
"NEW","НОВОЕ"
"CLAIMED","ПОЛУЧЕНО"
"ACCEPT","ПРИНЯТЬ"
"New contract available: %s","Новый контракт: %s"
"Active contract limit reached (%d)","Достигнут лимит активных контрактов (%d)"
"Unlock by: ","Откроется: "
"Unlock by progressing","Откроется по мере прогресса"
"complete ""%s""","выполнить «%s»"
"kill %s %s","убить %s %s"
"Step","Шаг"
"Questline complete","Сюжетная линия завершена"
"Issued by: ","Выдал: "
"OBJECTIVE","ЗАДАЧА"
"STORY","СЮЖЕТ"
"Details","Подробнее"
"CONTRACT COMPLETE","КОНТРАКТ ВЫПОЛНЕН"
"QUESTLINE COMPLETE","СЮЖЕТНАЯ ЛИНИЯ ЗАВЕРШЕНА"
"REWARDS","НАГРАДЫ"
"NICE","ОТЛИЧНО"
"+%d CR","+%d КР"
"+%d XP","+%d ОПЫТА"
"+%d Reputation","+%d репутации"
"+%d Skill Point","+%d очко навыка"
"+%d standing · %s","+%d отношений · %s"
"Cosmetic unlocked: %s","Открыта косметика: %s"
"STANDING","ОТНОШЕНИЯ"
"Reputation with your contacts","Репутация с вашими контактами"
"TIER %d","ТИР %d"
"MAX","МАКС"
"Standing: Tier %d (max)","Отношения: тир %d (макс)"
"Standing: Tier %d  (%d / %d)","Отношения: тир %d  (%d / %d)"
"★ QUEST REWARD","★ НАГРАДА ЗА КВЕСТ"
"Daily contracts reset in %s","Ежедневные контракты обновятся через %s"
"%d / %d done today","%d / %d выполнено сегодня"
"Pick up %s","Подобрать %s"
"Storm incoming — extract!","Шторм близко — эвакуируйтесь!"
"THE STORM HAS ARRIVED","ШТОРМ НАЧАЛСЯ"
"Flanked!","Вас обходят!"
"Boss called for backup!","Босс вызвал подкрепление!"
"Supply cache detected — hold to crack it open","Обнаружен тайник снабжения — удерживайте точку, чтобы вскрыть"
"Supply cache lost","Тайник снабжения утерян"
"Hostile Elite detected — eliminate the target","Обнаружен элитный враг — устраните цель"
"Mini-boss eliminated! +%d credits","Мини-босс уничтожен! +%d кредитов"
"Hostile Elite escaped","Элитный враг ушёл"
"Unknown","Неизвестно"
"Contested: %s","Горячая зона: %s"
"Hot zone — %s is contested!","Горячая зона — бой за %s!"
"North Tower","Северная башня"
"East Warehouse","Восточный склад"
"Plaza","Площадь"
"SW House","Юго-западный дом"
"South Yard","Южный двор"
"East Yard","Восточный двор"
"Snow Lodge","Снежная хижина"
"Snow Depot","Снежный склад"
"Desert Ruins","Руины пустыни"
"Ruin Columns","Колонны руин"
"Temple","Храм"
"Shrine House","Дом святилища"
"Hot zone cleared","Горячая зона зачищена"
"Enemy surge incoming!","Идёт волна врагов!"
"Surge subsiding","Всплеск стихает"
"[Hold] Crack supply cache","[Держать] Вскрыть тайник"
"Supply cache cracked! Loot secured.","Тайник вскрыт! Лут получен."
"Reinforcements inbound!","Подкрепление врага на подходе!"
"Raider L%d: %s","Рейдер ур.%d: %s"
"SURFACE OPERATIONS // EXTRACT OR DIE","НАЗЕМНЫЕ ОПЕРАЦИИ // ЭВАКУИРУЙСЯ ИЛИ УМРИ"
"CALLSIGN","ПОЗЫВНОЙ"
"Player name","Имя игрока"
"SINGLE PLAYER","ОДИНОЧНАЯ ИГРА"
"HOST CO-OP","СОЗДАТЬ КООП"
"Host IP (default 127.0.0.1)","IP хоста (по умолчанию 127.0.0.1)"
"JOIN CO-OP","ПРИСОЕДИНИТЬСЯ"
"SERVERS — browse / favorites / LAN","СЕРВЕРЫ — список / избранное / LAN"
"SETTINGS","НАСТРОЙКИ"
"QUIT","ВЫХОД"
"Hosting on port %d — configure your loadout…","Хост на порту %d — настройте снаряжение…"
"Host failed: %s","Не удалось создать хост: %s"
"Connecting to %s:%d…","Подключение к %s:%d…"
"Join failed — check IP/port","Не удалось подключиться — проверьте IP/порт"
"Join failed — check IP/port (is the host up?)","Не удалось подключиться — проверьте IP/порт (хост запущен?)"
"All players ready — match starting!","Все игроки готовы — матч начинается!"
"GRAPHICS","ГРАФИКА"
"AUDIO","ЗВУК"
"CONTROLS","УПРАВЛЕНИЕ"
"INTERFACE","ИНТЕРФЕЙС"
"ADVANCED QUALITY","РАСШИРЕННОЕ КАЧЕСТВО"
"RT-STYLE REFLECTIONS","RT-ОТРАЖЕНИЯ"
"CINEMATIC / BEYOND ULTRA","КИНЕМАТОГРАФИЧНОСТЬ / ВЫШЕ ULTRA"
"LANGUAGE","ЯЗЫК"
"STATISTICS OVERLAY","ОВЕРЛЕЙ СТАТИСТИКИ"
"HUD LAYOUT (ULTRAWIDE)","РАСКЛАДКА HUD (ШИРОКИЙ ЭКРАН)"
"CAMERA","КАМЕРА"
"Render Scale","Масштаб рендера"
"Global Illumination (SDFGI)","Глобальное освещение (SDFGI)"
"Ambient Occlusion (SSAO)","Глобальное затенение (SSAO)"
"Bloom / Glow","Свечение (Bloom)"
"Volumetric Clouds","Объёмные облака"
"Water Refraction","Преломление воды"
"Screen-Space Reflections (SSR)","Экранные отражения (SSR)"
"Screen-Space Indirect Light (SSIL)","Экранный непрямой свет (SSIL)"
"Reflection Probes","Зонды отражений"
"VoxelGI (experimental)","VoxelGI (экспериментально)"
"Grass Density","Густота травы"
"Draw Distance","Дальность прорисовки"
"Particle Density","Плотность частиц"
"Terrain Detail","Детализация ландшафта"
"Local Fog Density","Плотность локального тумана"
"Climate Density","Плотность погоды"
"Shadow Distance","Дальность теней"
"DOF Amount","Сила размытия (DOF)"
"Volumetric Fog","Объёмный туман"
"Local Fog Zones","Локальные зоны тумана"
"Climate Zones (rain/snow/desert)","Климатические зоны (дождь/снег/пустыня)"
"God Rays","Лучи света"
"Depth of Field","Глубина резкости"
"Terrain Parallax (POM)","Параллакс ландшафта (POM)"
"Show FPS","Показывать FPS"
"Detailed Stats","Подробная статистика"
"Stats Display","Вид статистики"
"UI Horizontal Offset","Сдвиг UI по горизонтали"
"UI Vertical Offset","Сдвиг UI по вертикали"
"HUD Scale","Масштаб HUD"
"Camera Distance","Дистанция камеры"
"Camera Shoulder","Смещение за плечо"
"Default View","Вид по умолчанию"
"Language","Язык"
"(applies next raid)","(применится в следующем рейде)"
"(applies next raid; heavy)","(в следующем рейде; тяжёлая опция)"
"(experimental — applies next raid)","(экспериментально — в следующем рейде)"
"(toggle in-game with V)","(в игре переключается на V)"
"Windowed","В окне"
"Borderless Fullscreen","Безрамочный полный экран"
"Exclusive Fullscreen","Полный экран"
"Off","Выкл"
"On","Вкл"
"Adaptive","Адаптивно"
"Low","Низкое"
"Medium","Среднее"
"High","Высокое"
"Ultra","Ультра"
"Ultra+RT","Ультра+RT"
"Custom","Своё"
"Hold","Удержание"
"Toggle","Переключение"
"Numeric","Числа"
"Graphs","Графики"
"Graphs + Numbers","Графики + числа"
"Third Person","От третьего лица"
"First Person","От первого лица"
"%d m","%d м"
"RESET TO DEFAULTS","СБРОСИТЬ НАСТРОЙКИ"
"BACK","НАЗАД"
"PAUSED","ПАУЗА"
"RESUME","ПРОДОЛЖИТЬ"
"QUIT TO MENU","ВЫЙТИ В МЕНЮ"
"ENTERING RAID…","ВХОД В РЕЙД…"
"Preparing graphics…","Подготовка графики…"
"Shaders","Шейдеры"
"Materials","Материалы"
"Icons","Иконки"
"World","Мир"
"Ready","Готово"
"Terrain","Ландшафт"
"Structures","Постройки"
"Ground","Поверхность"
"Flora","Растительность"
"Navmesh","Навигация"
"World loot","Мировой лут"
"SERVERS","СЕРВЕРЫ"
"DIRECT CONNECT","ПРЯМОЕ ПОДКЛЮЧЕНИЕ"
"CONNECT","ПОДКЛЮЧИТЬСЯ"
"☆ Save","☆ Сохранить"
"SCAN LAN","СКАН LAN"
"FAVORITES","ИЗБРАННОЕ"
"RECENT","НЕДАВНИЕ"
"CLOSE","ЗАКРЫТЬ"
"Scanning…","Сканирование…"
"Scanning the local network…","Сканирование локальной сети…"
"No LAN servers found. Press SCAN LAN.","Серверы в LAN не найдены. Нажмите СКАН LAN."
"No favorites yet. Save a server with ☆.","Избранного пока нет. Сохраните сервер кнопкой ☆."
"No recent connections.","Недавних подключений нет."
"HUB","ХАБ"
"STASH // LOADOUT // WORKSHOP","СХРОН // СНАРЯЖЕНИЕ // МАСТЕРСКАЯ"
"CR 0","0 КР"
"STASH","СХРОН"
"LOADOUT","СНАРЯЖЕНИЕ"
"WORKSHOP","МАСТЕРСКАЯ"
"SHOP","МАГАЗИН"
"QUESTS","КОНТРАКТЫ"
"GUNSMITH","ОРУЖЕЙНИК"
"RAIDER","РЕЙДЕР"
"DEPLOY","ВЫСАДКА"
"SQUAD","ОТРЯД"
"Coming soon","Скоро"
"START RAID","НАЧАТЬ РЕЙД"
"READY","ГОТОВ"
"UNREADY","НЕ ГОТОВ"
"EASY — fewer, weaker enemies. Good for learning the map.","ЛЕГКО — меньше врагов и они слабее. Подходит для изучения карты."
"NORMAL — balanced threat. Recommended for most runs.","НОРМАЛЬНО — сбалансированная угроза. Рекомендуется для большинства рейдов."
"HARD — more enemies, higher damage. Extraction is brutal.","СЛОЖНО — больше врагов, выше урон. Эвакуация будет жестокой."
"Waiting for the squad to ready up…","Ожидание готовности отряда…"
"CR %d","%d КР"
"EASY","ЛЕГКО"
"NORMAL","НОРМАЛЬНО"
"HARD","СЛОЖНО"
"EXTRACTED","ЭВАКУАЦИЯ УСПЕШНА"
"Gear secured. Head back to the Hub.","Снаряжение сохранено. Возвращайся в Хаб."
"ITEMS EXTRACTED","ВЫВЕЗЕННЫЕ ПРЕДМЕТЫ"
"+CR 0","+0 КР"
"BLUEPRINTS LEARNED","ИЗУЧЕННЫЕ ЧЕРТЕЖИ"
"QUESTS COMPLETED","ВЫПОЛНЕННЫЕ КОНТРАКТЫ"
"CONTINUE","ПРОДОЛЖИТЬ"
"RESTART","ЗАНОВО"
"PROGRESSION","ПРОГРЕСС"
"KIA","ПОГИБ"
"Gear lost. Better luck next time.","Снаряжение потеряно. Повезёт в следующий раз."
"Nothing extracted.","Ничего не вывезено."
"+CR %d","+%d КР"
"kills %d","убийства %d"
"extract %d","эвакуация %d"
"events %d","события %d"
"loot %d","лут %d"
"+XP %d","+%d ОП"
"+XP %d  (%s)","+%d ОП  (%s)"
"RAIDER LEVEL UP  →  %d","УРОВЕНЬ РЕЙДЕРА ПОВЫШЕН  →  %d"
"+REP %d  (Tier %d)","+%d РЕП  (Ранг %d)"
"+REP %d  (Tier %d → Tier %d)","+%d РЕП  (Ранг %d → Ранг %d)"
"Mastery: %s  Lv%d","Мастерство: %s  ур.%d"
"STASH OVERLOADED","СХРОН ПЕРЕПОЛНЕН"
"Trim your stash below capacity to continue.","Освободите схрон до лимита, чтобы продолжить."
"CONFIRM","ПОДТВЕРДИТЬ"
"%.1f / %.1f kg","%.1f / %.1f кг"
"%s  ×%d  (%.1f kg)","%s  ×%d  (%.1f кг)"
"SELL","ПРОДАТЬ"
"RECYCLE","РАЗОБРАТЬ"
"DROP","ВЫБРОСИТЬ"
"Sell 1 for %d CR","Продать 1 за %d КР"
"No value","Без цены"
"Recycle 1 into materials","Разобрать 1 на материалы"
"Discard 1 (no payout)","Выбросить 1 (без выплаты)"
"TRADE","ОБМЕН"
"YOUR ITEMS","ВАШИ ПРЕДМЕТЫ"
"TRADE — with %s","ОБМЕН — с %s"
"YOUR OFFER (%d)","ВАШЕ ПРЕДЛОЖЕНИЕ (%d)"
"THEIR OFFER (%d)","ИХ ПРЕДЛОЖЕНИЕ (%d)"
"Waiting for %s...","Ожидание %s..."
"Trading with %s","Обмен с %s"
"You: %s   |   %s: %s","Ты: %s   |   %s: %s"
"CONFIRMED","ПОДТВЕРЖДЕНО"
"ready","готов"
"editing","меняет"
"No teammate nearby to trade","Рядом нет союзника для обмена"
"Trade cancelled","Обмен отменён"
"Partner cancelled the trade","Партнёр отменил обмен"
"Trade complete","Обмен завершён"
"Partner left — trade cancelled","Партнёр вышел — обмен отменён"
"Raider %d","Рейдер %d"
"Click to add one to your offer","Клик — добавить 1 в предложение"
"Remove one from your offer","Убрать 1 из предложения"
"CANCEL","ОТМЕНА"
"INVENTORY","ИНВЕНТАРЬ"
"Sort:","Сортировка:"
"All","Все"
"Weapons","Оружие"
"Consumables","Расходники"
"0.0 / 50 kg","0.0 / 50 кг"
"Value: 0","Цена: 0"
"%.1f / %.0f kg","%.1f / %.0f кг"
"Value: %d","Цена: %d"
"%s
[%s]
Weight: %.1f kg
Value: %d

%s","%s
[%s]
Вес: %.1f кг
Цена: %d

%s"
"Use","Использовать"
"Drop","Выбросить"
"CHARACTER","ПЕРСОНАЖ"
"SELECT CATEGORY","ВЫБЕРИТЕ КАТЕГОРИЮ"
"VARIANTS","ВАРИАНТЫ"
"PREVIEW","ПРЕДПРОСМОТР"
"HEAD","ГОЛОВА"
"TORSO","ТОРС"
"ARMS","РУКИ"
"LEGS","НОГИ"
"PAINT","ОКРАСКА"
"EQUIP","ЭКИПИРОВАТЬ"
"EQUIPPED","ЭКИПИРОВАНО"
"BUY (CR %d)","КУПИТЬ (%d КР)"
"(preview N/A)","(предпросмотр недоступен)"
"Dome","Купол"
"Visor","Визор"
"Antenna","Антенна"
"Cyclops","Циклоп"
"Horned","Рогатый"
"Crest","Гребень"
"Hooded","Капюшон"
"Fin","Плавник"
"Riot","Щит"
"Oni","Они"
"Plated","Броня"
"Light","Лёгкий"
"Heavy","Тяжёлый"
"Tac Rig","Тактический"
"Reactor","Реактор"
"Exo-Frame","Экзоскелет"
"Recon","Разведчик"
"Trench","Траншейный"
"Juggernaut","Джаггернаут"
"Standard","Стандарт"
"Bulky","Массивный"
"Servo","Сервопривод"
"Pauldron","Наплечник"
"Blade","Клинок"
"Gauntlet","Наручи"
"Piston","Поршень"
"Bracer","Манжеты"
"Claw","Коготь"
"Digitigrade","Цифроградный"
"Boots","Сапоги"
"Thruster","Ускоритель"
"Armored","Бронированный"
"Runner","Бегун"
"Tread","Гусеница"
"Greaves","Поножи"
"Raider","Рейдер"
"Ash","Пепел"
"Crimson","Багровый"
"Forest","Лесной"
"Arctic","Арктика"
"Void","Бездна"
"Toxic","Токсичный"
"Gilded","Золочёный"
"Ember","Уголь"
"Royal","Королевский"
"Split","Разделить"
"Give to %s","Отдать: %s"
"Sell 1","Продать 1"
"Sell All","Продать всё"
"Recycle 1","Разобрать 1"
"SORT","СОРТИРОВКА"
"Toggle sort by value (high → low)","Сортировка по цене (убывание)"
"SELL ALL JUNK","ПРОДАТЬ ВЕСЬ ХЛАМ"
"Sell every Common-rarity Material stack","Продать все обычные материалы"
"RECYCLE ALL","РАЗОБРАТЬ ВСЁ"
"Recycle every Material stack (leaves consumables & weapons)","Разобрать все материалы (расходники и оружие останутся)"
"Total value: %d","Общая цена: %d"
"%s
[Unknown item]","%s
[Неизвестный предмет]"
"%s
[%s]
Value: %d

%s","%s
[%s]
Цена: %d

%s"
"%s
CR %d","%s
%d КР"
"BUY","КУПИТЬ"
"No blueprints available — check back after crafting more recipes.","Чертежей нет — загляните позже, когда откроете больше рецептов."
"LEARNED","ИЗУЧЕНО"
"DAILY CONTRACTS","ЕЖЕДНЕВНЫЕ КОНТРАКТЫ"
"Refreshes each day","Обновляются каждый день"
"CONTRACTS","КОНТРАКТЫ"
"No contracts available","Контрактов нет"
"DAILY","ЕЖЕДНЕВНЫЙ"
"%s x%d","%s x%d"
"Blueprint: %s","Чертёж: %s"
"Reward:","Награда:"
"CLAIM","ЗАБРАТЬ"
"IN PROGRESS","В ПРОЦЕССЕ"
"SELECT WEAPON","ВЫБОР ОРУЖИЯ"
"ATTACHMENT SLOTS","СЛОТЫ ОБВЕСОВ"
"  WARNING — AT RISK: attachments are LOST if you do not extract.","  ВНИМАНИЕ — ПОД РИСКОМ: обвесы ТЕРЯЮТСЯ, если не эвакуироваться."
"— empty —","— пусто —"
"— pick —","— выбрать —"
"CLEAR","СНЯТЬ"
"PERMANENT PERKS","ПОСТОЯННЫЕ ПЕРКИ"
"Lv %d/%d","Ур. %d/%d"
"MAX","МАКС"
"OPTIC","ПРИЦЕЛ"
"MAG","МАГАЗИН"
"BARREL","СТВОЛ"
"GRIP","РУКОЯТЬ"
"RAIDER LEVEL %d","УРОВЕНЬ РЕЙДЕРА %d"
"%d / %d XP  (Total: %d)","%d / %d ОП  (всего: %d)"
"Skill Points Available: %d","Доступно очков навыков: %d"
"All Raider milestones earned.","Все рубежи Рейдера получены."
"Next milestone — Level %d: %s","Следующий рубеж — уровень %d: %s"
"RAIDER LEVEL","УРОВЕНЬ РЕЙДЕРА"
"SKILL TREE","ДРЕВО НАВЫКОВ"
"VENDOR REPUTATION","РЕПУТАЦИЯ ТОРГОВЦА"
"WEAPON MASTERY","МАСТЕРСТВО ОРУЖИЯ"
"Mastery complete","Мастерство освоено"
"%d / %d xp","%d / %d оп"
"Lv %d / %d","Ур. %d / %d"
"MAX (%d)","МАКС (%d)"
"TIER %d  ·  %d%% shop discount","РАНГ %d  ·  скидка в магазине %d%%"
"TIER %d  ·  No discount yet","РАНГ %d  ·  скидки пока нет"
"Maximum tier reached!","Достигнут максимальный ранг!"
"%d / %d rep to Tier %d","%d / %d реп. до ранга %d"
"Next tier reward:","Награда за следующий ранг:"
"PISTOL","ПИСТОЛЕТ"
"SMG","ПП"
"SHOTGUN","ДРОБОВИК"
"DMR","МАРКСМАНКА"
"IN LOADOUT","В СНАРЯЖЕНИИ"
"UNLOCK","ОТКРЫТЬ"
"UPGRADE","УЛУЧШИТЬ"
"OWNED","КУПЛЕНО"
"FREE","БЕСПЛАТНО"
"Ammo Box","Ящик патронов"
"Anomalous Artifact","Аномальный артефакт"
"Chemical Compound","Химический состав"
"Circuit Board","Печатная плата"
"Circuit Pack","Набор микросхем"
"Encrypted Data Chip","Шифрованный чип данных"
"Energy Cell","Энергоячейка"
"Frag Grenade","Осколочная граната"
"Frag Grenade Mk2","Осколочная граната Mk2"
"Knockdown Shield","Щит при падении"
"Medkit","Аптечка"
"Plastic Scraps","Обломки пластика"
"Rifle","Винтовка"
"Ammo Schematic","Схема: патроны"
"Circuit Pack Schematic","Схема: набор микросхем"
"Drum Mag Schematic","Схема: барабанный магазин"
"Grenade Mk2 Schematic","Схема: граната Mk2"
"Combat Stim Schematic","Схема: боевой стимулятор"
"Suppressor Schematic","Схема: глушитель"
"Scrap","Металлолом"
"Self-Revive Kit","Аптечка самоподъёма"
"Combat Stim","Боевой стимулятор"
"A box of mixed-calibre rounds. Resupplies weapons mid-raid.","Ящик патронов разных калибров. Пополняет боезапас прямо в рейде."
"A pulsing fragment of unknown origin. Traders pay handsomely for these.","Пульсирующий осколок неизвестного происхождения. Торговцы платят за такие щедро."
"Volatile industrial chemicals salvaged from robot coolant systems. Used in advanced crafting.","Летучая промышленная химия из систем охлаждения роботов. Нужна для продвинутого крафта."
"Intact electronic circuitry stripped from decommissioned machines. High-tier crafting component.","Целая электроника, снятая со списанных машин. Компонент крафта высокого уровня."
"Dense assembly of salvaged electronics. A compact crafting component worth more than its parts.","Плотная сборка из утильной электроники. Компактный компонент дороже суммы своих частей."
"Classified machine intelligence compressed onto a thumb-sized chip. Fetch a premium at extraction.","Секретные данные машинного интеллекта на чипе размером с палец. На эвакуации ценятся особенно."
"A charged power cell. Valuable salvage and ammo feedstock.","Заряженная энергоячейка. Ценный утиль и сырьё для патронов."
"High-explosive fragmentation grenade. Throwable. Bring some into a raid.","Осколочная граната. Метательная. Возьмите несколько в рейд."
"High-yield fragmentation grenade. Larger blast radius than standard issue — handle with care.","Усиленная осколочная граната. Радиус взрыва больше стандартного — обращаться осторожно."
"While downed, absorbs incoming damage so teammates have time to revive you.","Пока вы сбиты, поглощает входящий урон — у союзников будет время вас поднять."
"A field medical kit. Restores health instantly. Bring some into a raid.","Полевая аптечка. Мгновенно восстанавливает здоровье. Возьмите в рейд."
"Broken polymer panels and housings. Lightweight crafting material.","Сломанные полимерные панели и корпуса. Лёгкий материал для крафта."
"Standard-issue assault rifle. Reliable and accurate at range.","Штатная штурмовая винтовка. Надёжная и точная на дистанции."
"A weapons schematic. Extract with it to permanently learn the Ammo Box recipe.","Оружейная схема. Эвакуируйтесь с ней, чтобы навсегда изучить рецепт ящика патронов."
"Engineering notes for dense circuit assembly. Extract with it to learn the Circuit Pack recipe.","Инженерные записи по сборке плотных схем. Эвакуируйтесь с ними, чтобы изучить рецепт набора микросхем."
"Manufacturing notes for a high-capacity drum magazine. Extract with it to permanently learn the recipe.","Технология барабанного магазина повышенной ёмкости. Эвакуируйтесь с ней, чтобы навсегда изучить рецепт."
"Classified ordnance blueprints. Extract with it to permanently learn how to craft the Mk2 Frag Grenade.","Секретные оружейные чертежи. Эвакуируйтесь с ними, чтобы навсегда изучить крафт гранаты Mk2."
"Formula notes for an adrenaline compound. Extract with it to permanently learn the Combat Stim recipe.","Формула адреналинового состава. Эвакуируйтесь с ней, чтобы навсегда изучить рецепт боевого стимулятора."
"Classified fabrication blueprint. Extract with it to permanently learn how to craft a Suppressor.","Секретный производственный чертёж. Эвакуируйтесь с ним, чтобы навсегда изучить крафт глушителя."
"Salvaged metal and components. Common material used for crafting.","Металлолом и детали. Базовый материал для крафта."
"Use while downed to pick yourself back up. One-shot. Bring it into a raid for solo insurance.","Используйте, будучи сбитым, чтобы подняться самому. Одноразовая. Страховка для одиночных рейдов."
"A self-injecting adrenaline compound. Temporarily boosts movement speed and suppresses pain.","Автоинъектор с адреналиновым составом. Временно ускоряет движение и глушит боль."
"Compensator","Компенсатор"
"Drum Magazine","Барабанный магазин"
"Extended Mag","Удлинённый магазин"
"Heavy Grip","Утяжелённая рукоять"
"Holo Sight","Голографический прицел"
"Lightweight Mag","Облегчённый магазин"
"Long Barrel","Удлинённый ствол"
"Quickdraw Grip","Скоростная рукоять"
"Red-Dot Sight","Коллиматор"
"4x Scope","Прицел 4x"
"Suppressor","Глушитель"
"Muzzle device that cuts recoil and tightens spread. Fits any weapon.","Дульное устройство: меньше отдача, кучнее стрельба. Подходит к любому оружию."
"Massive drum holds far more rounds but the bulk slows reloads noticeably. Best for suppressing waves.","Огромный барабан вмещает куда больше патронов, но заметно замедляет перезарядку. Идеален против волн."
"Larger magazine — more rounds before reloading, at the cost of slightly slower reloads.","Магазин побольше — больше выстрелов до перезарядки ценой чуть более медленной смены."
"Weighted angled foregrip that soaks up muzzle climb and tightens sustained fire spread. Slower to raise.","Утяжелённая наклонная рукоять гасит подброс ствола и держит кучность при длинных очередях. Медленнее вскидка."
"Holographic optic with a wide field of view. Better zoom than a red-dot with no tunnel-vision penalty.","Голографический прицел с широким обзором. Зум лучше коллиматора без эффекта туннельного зрения."
"Polymer-body magazine. Slightly fewer rounds but reloads snap in faster — great for aggressive play.","Полимерный магазин. Чуть меньше патронов, зато перезарядка щёлкает быстрее — для агрессивной игры."
"Extended barrel boosts muzzle velocity — tighter spread and greater effective range at the cost of handling.","Удлинённый ствол повышает начальную скорость пули: кучнее и дальше, но хуже управляемость."
"Ergonomic grip tape and contoured handle — faster handling and ADS transitions. Slightly less stability.","Эргономичная обмотка и анатомическая рукоять — быстрее вскидка и прицеливание. Чуть меньше стабильность."
"Lightweight reflex optic. Snaps to ADS quickly with a mild zoom. Fits anything but a DMR.","Лёгкий коллиматорный прицел. Быстрая вскидка, лёгкий зум. Подходит ко всему, кроме марксманки."
"Magnified optic. Zooms in further when aiming and extends effective range. At risk in a raid.","Оптический прицел. Сильнее приближает при прицеливании и расширяет эффективную дальность. В рейде — под риском."
"Precision-machined barrel and recoil-damping baffles. The best muzzle control available — tames recoil and tightens spread hard, with only a slight range trade-off.","Прецизионный ствол с гасящими перегородками. Лучший контроль ствола: сильно укрощает отдачу и кучность, лишь немного теряя в дальности."
"Daily: Smash and Grab","Ежедневный: Хапнул и беги"
"Daily: Relic Hunter","Ежедневный: Охотник за реликвиями"
"Daily: Breaker","Ежедневный: Крушитель"
"Daily: Scrapper","Ежедневный: Утильщик"
"Daily: Scav Run","Ежедневный: Вылазка за лутом"
"Daily: Hold the Line","Ежедневный: Держать строй"
"Make It Out Alive","Выбраться живым"
"Proof of the Anomaly","Доказательство аномалии"
"Slay the Bastion Prime","Убить Бастион-Прайм"
"Swat the Swarm","Прихлопнуть рой"
"Cull the Machines","Проредить машины"
"Data Recovery","Восстановление данных"
